property_id,no_bedrooms,sq_footage,has_balcony,pets_allowed,parking_spaces,garage_spaces,no_baths,property_name,property_description,owner,city,property_address
15,2,5322,0,0,4,0,1,Flexidy,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,36,12,27877 Graedel Way
16,1,4305,1,0,3,0,3,Prodder,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,91,1,37 Del Mar Center
17,4,6145,1,0,4,0,3,Treeflex,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,13,2,8 Comanche Trail
18,1,4091,1,0,2,0,2,Tempsoft,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,7,14,6429 Huxley Terrace
19,1,2072,1,1,1,0,3,Zamit,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,46,9,2 Pawling Circle
20,3,5731,1,0,6,0,5,Sonsing,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,23,1,26 Grayhawk Junction
21,6,1122,0,1,1,0,1,Hatity,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,74,2,6942 Granby Avenue
22,1,6021,0,0,4,0,6,Ventosanzap,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,38,1,1 Magdeline Road
23,3,3093,1,0,4,0,1,Ronstring,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,64,9,574 2nd Point
24,6,4268,0,1,6,1,4,Vagram,nulla integer pede justo lacinia eget tincidunt eget tempus vel,7,5,8459 Johnson Place
25,1,1951,1,0,2,0,5,Pannier,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,21,10,57 Bobwhite Parkway
26,6,4917,0,1,2,0,2,Kanlam,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,81,5,00612 Twin Pines Lane
27,6,7231,0,1,5,0,3,Namfix,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,65,4,3 Daystar Pass
28,6,6306,1,0,3,0,4,Zathin,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,15,9,1801 Norway Maple Place
29,4,1868,0,1,2,0,6,Andalax,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,44,7,1 Scofield Hill
30,6,3163,0,0,6,1,6,Veribet,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,48,6,56 Green Place
31,2,4592,0,1,1,0,1,Sonsing,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,8,10,26 Lillian Hill
32,5,5963,0,1,2,1,1,Bigtax,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,97,5,449 Thompson Parkway
33,1,5409,1,1,6,0,6,Bamity,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,61,4,44 Muir Parkway
34,1,1383,1,0,5,1,1,It,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,12,7,771 Basil Parkway
35,3,7853,1,1,4,0,5,It,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,50,2,4665 Mayer Trail
36,5,7119,1,0,4,0,6,Konklab,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,96,14,29285 Havey Place
37,1,2925,1,1,4,0,5,Tampflex,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,91,14,5945 Eliot Crossing
38,6,7675,0,1,5,0,2,Holdlamis,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,18,4,06 Buell Junction
39,1,7223,1,1,6,0,1,Bitchip,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,27,8,5754 Mccormick Circle
40,2,6637,0,0,2,1,4,Overhold,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,79,3,90 Becker Alley
41,2,2841,0,0,6,1,6,Cookley,justo etiam pretium iaculis justo in hac habitasse platea dictumst,85,9,3380 Caliangt Avenue
42,2,443,0,1,4,0,3,Toughjoyfax,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,59,9,40064 Mayer Hill
43,5,3498,0,1,4,1,3,Cookley,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,16,3,665 Vermont Parkway
44,2,4587,1,1,1,1,5,Home Ing,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,51,9,01 Truax Crossing
45,5,2756,1,1,3,0,4,Namfix,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,19,14,264 Gale Junction
46,2,3488,0,0,2,0,1,Treeflex,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,97,7,2 Roxbury Place
47,3,6842,1,0,6,1,3,Bitchip,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,13,11,46 Jenifer Park
48,6,3122,1,1,2,1,1,Ronstring,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,76,6,8250 Del Sol Alley
49,4,4271,0,0,3,1,4,Fixflex,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,60,5,7208 Jay Center
50,6,4268,1,0,6,1,2,Konklab,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,24,14,31490 Hintze Hill
51,3,4065,1,0,2,1,2,Alpha,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,66,5,9353 Golden Leaf Avenue
52,4,7243,0,0,1,0,5,Bigtax,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,84,9,81323 Mayfield Lane
53,5,1696,1,0,3,0,2,Greenlam,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,47,3,22 Dexter Place
54,6,3095,1,1,2,1,2,Sonsing,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,30,13,72 Annamark Crossing
55,4,3741,1,1,1,0,1,Home Ing,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,52,13,9 3rd Trail
56,5,2045,0,1,2,1,4,Y-find,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,24,1,9 Cambridge Trail
57,6,4062,1,1,5,0,5,Bitchip,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,8,8,7920 Barnett Road
58,3,5280,1,0,6,1,4,Namfix,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,85,13,494 Kipling Circle
59,6,4449,1,1,3,0,6,Y-Solowarm,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,76,11,471 Cardinal Court
60,1,874,1,1,5,1,6,Otcom,aliquet maecenas leo odio condimentum id luctus nec molestie sed,51,3,53 Cardinal Plaza
61,5,7237,1,0,2,1,4,Lotlux,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,85,9,724 Kipling Court
62,4,7346,1,1,5,0,4,Bigtax,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,21,3,458 Welch Hill
63,1,3444,1,0,4,0,4,Konklux,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,2,12,44 Kennedy Place
64,3,855,0,1,2,1,4,Stringtough,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,60,2,87648 Surrey Trail
65,2,5547,0,1,1,0,5,It,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,59,6,121 Maple Crossing
66,1,4869,0,0,4,0,4,Tin,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,56,5,980 Dayton Parkway
67,5,2147,0,0,2,0,4,Treeflex,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,26,1,3 Dryden Road
68,5,2495,1,0,6,1,2,Gembucket,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,96,4,8 Thompson Avenue
69,6,5843,1,1,6,0,2,Alpha,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,33,4,619 Hallows Avenue
70,4,7234,0,1,4,1,4,Stronghold,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,51,3,43000 Dayton Court
71,6,2112,1,1,2,0,6,Wrapsafe,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,24,6,97757 Iowa Circle
72,1,4013,1,0,3,0,3,Redhold,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,10,13,74860 Bowman Trail
73,4,1556,0,0,2,0,5,Cardguard,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,98,5,880 Blue Bill Park Point
74,5,3614,0,0,2,0,1,Sonair,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,33,13,65280 Kenwood Drive
75,5,3300,0,1,1,0,6,Flowdesk,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,63,10,5760 Mariners Cove Place
76,4,6156,0,1,1,1,1,Alphazap,sit amet eleifend pede libero quis orci nullam molestie nibh in,63,14,72191 Sloan Street
77,5,4123,1,1,5,0,2,Holdlamis,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,76,12,31133 Thierer Hill
78,6,6558,1,0,2,0,5,Tampflex,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,67,14,50 Artisan Avenue
79,5,3078,0,0,2,1,6,It,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,97,14,5755 Kropf Avenue
80,5,2309,1,0,6,0,4,Wrapsafe,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,25,11,60077 Mallory Drive
81,1,5335,1,1,5,1,6,It,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,19,7,306 Killdeer Circle
82,3,3688,1,0,2,0,1,Stringtough,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,70,13,0464 Alpine Circle
83,6,4169,1,1,3,1,6,Bytecard,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,13,3,0 Pawling Avenue
84,1,6328,1,1,2,1,3,Otcom,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,5,12,61149 Russell Avenue
85,2,4504,1,1,6,1,2,Alphazap,dui vel sem sed sagittis nam congue risus semper porta volutpat quam,100,11,7532 Toban Alley
86,1,4639,0,1,2,1,4,Konklux,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,50,11,47737 Walton Junction
87,6,6279,1,0,1,1,3,Vagram,ut mauris eget massa tempor convallis nulla neque libero convallis eget,63,8,5602 Graedel Crossing
88,5,4511,0,1,6,1,6,Zontrax,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,91,1,08 Northview Center
89,2,547,1,0,3,0,4,Y-find,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,53,11,0267 Eagle Crest Plaza
90,3,5167,1,1,5,0,4,Y-Solowarm,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,42,12,03735 Hintze Place
91,4,2785,0,0,2,1,1,Tin,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,76,7,89 Talisman Junction
92,3,4993,0,0,5,1,1,Andalax,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,86,3,2092 Fair Oaks Crossing
93,4,6147,0,1,4,1,5,Redhold,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,56,11,575 Raven Court
94,3,6095,0,1,3,1,5,Lotstring,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,54,4,7877 Monument Street
95,6,7101,0,1,6,1,4,Cookley,felis eu sapien cursus vestibulum proin eu mi nulla ac enim,20,7,31306 Carioca Terrace
96,3,4506,1,1,5,1,1,Tres-Zap,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,13,2,095 Tomscot Point
97,4,5315,0,1,5,1,6,Sub-Ex,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,13,14,9347 Sunbrook Pass
98,5,5050,0,0,2,0,6,Flowdesk,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,96,11,3274 Bobwhite Place
99,1,2566,0,0,4,1,5,Hatity,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,31,4,13587 Waywood Junction
100,2,1671,0,1,3,1,3,Fix San,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,77,13,7 La Follette Road
